174,2,True,144935,1,.\Users\jowi\AppData\Local\Packages\Microsoft.Xbox.TCUI_8wekyb3d8bbwe\Settings,settings.dat.LOG1,.LOG1,8192,1,,False,False,False,False,False,False,Hidden|System|Archive,Windows,2025-11-24 12:07:40.7264488,,2025-11-24 12:07:40.7264488,,2025-11-24 12:07:40.7264488,,2025-11-24 12:07:40.7264488,,114597888,642655367,3209,,,,.\$MFT
175,2,True,144935,1,.\Users\jowi\AppData\Local\Packages\Microsoft.Xbox.TCUI_8wekyb3d8bbwe\Settings,settings.dat.LOG2,.LOG2,0,1,,False,False,False,False,False,False,Hidden|System|Archive,Windows,2025-11-24 12:07:40.7264488,,2025-11-24 12:07:40.7264488,,2025-11-24 12:07:40.7264488,,2025-11-24 12:07:40.7264488,,114597984,642655452,3209,,,,.\$MFT
180,4,True,22523,2,.\Users\jowi\AppData\Local\Packages\Microsoft.Windows.Cortana_cw5n1h2txyewy\AC\Microsoft\Crypto\TokenBindingKeys,Microsoft,,0,1,,True,False,False,False,False,False,System|NotContentIndexed,Windows,2025-11-24 12:08:13.0876121,,2025-11-24 12:08:13.0876121,,2025-11-24 12:08:13.0876121,,2025-11-24 13:37:58.4834593,2025-11-24 12:08:13.0876121,114615432,672401254,2650,,,,.\$MFT
185,3,True,180,4,.\Users\jowi\AppData\Local\Packages\Microsoft.Windows.Cortana_cw5n1h2txyewy\AC\Microsoft\Crypto\TokenBindingKeys\Microsoft,Crypto,,0,1,,True,False,False,False,False,False,System|NotContentIndexed,DosWindows,2025-11-24 12:08:13.0876121,,2025-11-24 12:08:13.0876121,,2025-11-24 12:08:13.0876121,,2025-11-24 13:37:58.7467836,2025-11-24 12:08:13.0876121,114615584,672407882,2650,,,,.\$MFT
186,3,True,185,3,.\Users\jowi\AppData\Local\Packages\Microsoft.Windows.Cortana_cw5n1h2txyewy\AC\Microsoft\Crypto\TokenBindingKeys\Microsoft\Crypto,RSA,,0,1,,True,False,False,False,False,False,System|NotContentIndexed,DosWindows,2025-11-24 12:08:13.0876121,,2025-11-24 12:08:13.0876121,,2025-11-24 12:08:13.0876121,,2025-11-24 13:37:59.1196319,2025-11-24 12:08:13.0876121,114615728,672422732,2650,,,,.\$MFT
187,2,True,186,3,.\Users\jowi\AppData\Local\Packages\Microsoft.Windows.Cortana_cw5n1h2txyewy\AC\Microsoft\Crypto\TokenBindingKeys\Microsoft\Crypto\RSA,S-1-5-21-3461203602-4096304019-2269080069-1003,,0,1,,True,False,False,False,False,False,System|NotContentIndexed,Windows,2025-11-24 12:08:13.0876121,,2025-11-24 12:08:13.0876121,,2025-11-24 12:08:13.0876121,,2025-11-24 13:37:59.1649736,2025-11-24 12:08:13.0876121,114615952,672424334,2650,,,,.\$MFT
188,2,True,22527,2,.\Users\jowi\AppData\Local\Packages\Microsoft.Windows.Cortana_cw5n1h2txyewy\AC\Microsoft\Crypto\TokenBindingKeys\Keys,0864bb47f2eb5792242e292f093bd059_747f3d96-68a7-43f1-8cbe-e8d6dadd0358_775090f05efb4712c965fe90ed1ae5ce,,868,1,,False,False,False,False,False,False,System|Archive|NotContentIndexed,Windows,2025-11-24 12:08:13.0876121,,2025-11-24 12:08:13.1096967,2025-11-24 12:08:13.0876121,2025-11-24 12:08:13.1096967,2025-11-24 12:08:13.0876121,2025-11-24 12:42:28.4116800,2025-11-24 12:08:13.0876121,114616632,656134441,2729,,,,.\$MFT
189,5,True,143302,1,.\Users\jowi\AppData\Local\Microsoft\Edge\User Data\Default\Network,TransportSecurity,,854,1,,False,False,False,False,False,False,Archive,Windows,2025-11-24 12:21:58.2275151,,2025-11-24 12:21:58.2350777,,2025-11-24 12:21:58.2371115,2025-11-24 12:21:58.2350777,2025-11-24 12:21:58.2350777,,115494784,646586251,2598,,,,.\$MFT
202,4,True,142702,1,.\Users\jowi\AppData\Local,D3DSCache,,0,1,,True,False,False,False,False,False,None,Windows,2025-11-24 12:14:53.6912808,,2025-11-24 12:19:08.0282836,2025-11-24 12:14:53.6912808,2025-11-24 12:19:08.0282836,2025-11-24 12:14:53.6912808,2025-11-24 13:37:16.7817385,2025-11-24 12:14:53.6912808,114745760,671229390,3168,,,,.\$MFT
205,2,True,144754,1,.\Users\jowi\AppData\Local\Microsoft\OneDrive\logs\Common,FileCoAuth-2025-11-24.1209.6584.1.odl,.odl,1842,1,,False,False,False,False,False,False,Archive|Compressed,Windows,2025-11-24 12:09:43.6388879,,2025-11-24 12:09:48.0920000,,2025-11-24 12:09:48.0928137,,2025-11-24 13:38:28.3380879,2025-11-24 12:09:43.6642982,114672320,672913452,2598,,,,.\$MFT
219,2,True,142709,1,.\Users\jowi\AppData\Local\Microsoft\Windows,ActionCenterCache,,0,1,,True,False,False,False,False,False,None,Windows,2025-11-24 12:09:45.9081296,,2025-11-24 12:09:45.9081296,,2025-11-24 12:09:45.9081296,,2025-11-24 13:37:49.5505090,2025-11-24 12:09:45.9081296,114668688,672072200,2599,,,,.\$MFT
220,2,True,219,2,.\Users\jowi\AppData\Local\Microsoft\Windows\ActionCenterCache,windows-defender-securitycenter_11_0.png,.png,44257,1,,False,False,False,False,False,True,Archive,Windows,2025-11-24 12:09:45.9081296,,2018-09-15 07:28:26.7782442,2025-11-24 12:09:45.9081296,2019-03-19 11:20:01.2218741,2025-11-24 12:09:45.9081296,2025-11-24 12:09:45.9192584,2025-11-24 12:09:45.9081296,114669648,642915551,2642,,,,.\$MFT
221,3,True,26733,3,.\Users\jowi\AppData\Local\Packages\Microsoft.Windows.SecHealthUI_cw5n1h2txyewy\AC,Microsoft,,0,1,,True,False,False,False,False,False,NotContentIndexed,Windows,2025-11-24 12:09:47.1685651,,2025-11-24 12:09:47.1685651,,2025-11-24 12:09:47.1685651,,2025-11-24 13:37:53.9361733,2025-11-24 12:09:47.1685651,114671496,672278854,2822,,,,.\$MFT
222,2,True,221,3,.\Users\jowi\AppData\Local\Packages\Microsoft.Windows.SecHealthUI_cw5n1h2txyewy\AC\Microsoft,Windows,,0,1,,True,False,False,False,False,False,NotContentIndexed,DosWindows,2025-11-24 12:09:47.1685651,,2025-11-24 12:09:47.1685651,,2025-11-24 12:09:47.1685651,,2025-11-24 13:37:56.2405947,2025-11-24 12:09:47.1685651,114671696,672351419,2822,,,,.\$MFT
224,2,True,144754,1,.\Users\jowi\AppData\Local\Microsoft\OneDrive\logs\Common,FileCoAuth-2025-11-24.1209.5664.1.odl,.odl,1842,1,,False,False,False,False,False,False,Archive|Compressed,Windows,2025-11-24 12:09:48.9552511,,2025-11-24 12:09:52.4160000,,2025-11-24 12:09:52.4190248,2025-11-24 12:09:52.4161781,2025-11-24 13:38:28.3108626,2025-11-24 12:09:48.9633773,114677816,672911379,2598,,,,.\$MFT
